mu,loss_rate
1.5,0.57366
1.6,0.55579
1.7,0.53915
1.8,0.52311
1.9,0.51598
2,0.50021
2.1,0.48927
2.2,0.47882
2.3,0.46533
2.4,0.45437
2.5,0.44663
