k,ω [rad],f,Ω [rad/sec]
0.0,0.0,0.0,0.0
1.0,0.7853981633974483,0.125,0.09817477042468103
2.0,1.5707963267948966,0.25,0.19634954084936207
3.0,2.356194490192345,0.375,0.2945243112740431
4.0,3.141592653589793,0.5,0.39269908169872414
5.0,3.9269908169872414,0.625,0.4908738521234052
6.0,4.71238898038469,0.75,0.5890486225480862
7.0,5.497787143782138,0.875,0.6872233929727672
