k,p_k
0,0.1358133392031697
1,0.268785143977748
2,0.2708262461729334
3,0.1801572849338643
4,0.09234986892922178
5,0.03679987193084266
6,0.011466191743541512
7,0.00286154523442659
8,0.0006403457867248314
9,0.00024012967002181177
10,4.002161167030196e-5
11,0.0
12,0.0
13,2.001080583515098e-5
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
