t,u,v,x,y,z,r,num_contours,threshold
27.421951293945312,256,361,-1.974363386097729,-3.9035615966964903,15.485203028217482,29.06,1,
61.93900108337402,256,361,-1.975723140495868,-3.9062500000000004,15.495867768595042,29.04,1,
95.34215927124023,256,361,-1.9736842105263157,-3.9022187822497414,15.479876160990711,29.07,1,
129.11105155944824,256,361,-1.9723272602268822,-3.899535922997594,15.469233413544174,29.09,1,
159.83319282531738,256,361,-1.9716494845360826,-3.89819587628866,15.463917525773196,29.1,1,
193.0549144744873,256,361,-1.973005502063274,-3.900876891334251,15.47455295735901,29.08,1,
226.25303268432617,256,361,-1.9709721745104776,-3.8968567502576437,15.458605290278255,29.11,1,
260.09297370910645,256,361,-1.973005502063274,-3.900876891334251,15.47455295735901,29.08,1,
292.29116439819336,256,361,-1.974363386097729,-3.9035615966964903,15.485203028217482,29.06,1,
327.81100273132324,256,361,-1.9716494845360826,-3.89819587628866,15.463917525773196,29.1,1,
358.25109481811523,256,361,-1.9736842105263157,-3.9022187822497414,15.479876160990711,29.07,1,
391.24608039855957,256,361,-1.973005502063274,-3.900876891334251,15.47455295735901,29.08,1,
424.3440628051758,256,361,-1.973005502063274,-3.900876891334251,15.47455295735901,29.08,1,
458.2798480987549,256,361,-1.9716494845360826,-3.89819587628866,15.463917525773196,29.1,1,
491.0440444946289,256,361,-1.9736842105263157,-3.9022187822497414,15.479876160990711,29.07,1,
525.9010791778564,256,361,-1.9736842105263157,-3.9022187822497414,15.479876160990711,29.07,1,
555.8810234069824,256,361,-1.9709721745104776,-3.8968567502576437,15.458605290278255,29.11,1,
590.0521278381348,256,361,-1.974363386097729,-3.9035615966964903,15.485203028217482,29.06,1,
623.0859756469727,256,361,-1.974363386097729,-3.9035615966964903,15.485203028217482,29.06,1,
656.9919586181641,256,361,-1.973005502063274,-3.900876891334251,15.47455295735901,29.08,1,
687.0689392089844,256,361,-1.974363386097729,-3.9035615966964903,15.485203028217482,29.06,1,
720.0779914855957,256,361,-1.974363386097729,-3.9035615966964903,15.485203028217482,29.06,1,
753.0059814453125,256,361,-1.973005502063274,-3.900876891334251,15.47455295735901,29.08,1,
786.7960929870605,256,361,-1.973005502063274,-3.900876891334251,15.47455295735901,29.08,1,
818.6540603637695,256,361,-1.973005502063274,-3.900876891334251,15.47455295735901,29.08,1,
852.7059555053711,256,361,-1.9709721745104776,-3.8968567502576437,15.458605290278255,29.11,1,
885.551929473877,256,361,-1.9716494845360826,-3.89819587628866,15.463917525773196,29.1,1,
919.4791316986084,256,361,-1.9736842105263157,-3.9022187822497414,15.479876160990711,29.07,1,
952.1479606628418,256,361,-1.9723272602268822,-3.899535922997594,15.469233413544174,29.09,1,
985.2490425109863,256,361,-1.9723272602268822,-3.899535922997594,15.469233413544174,29.09,1,
1017.819881439209,256,361,-1.9709721745104776,-3.8968567502576437,15.458605290278255,29.11,1,
