t,u0,v0,u1,v1,u2,v2,u3,v3
2304.9890995025635,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
2337.93306350708,212.0,94.5,366.5,120.5,195.0,257.0,355.0,271.0
2370.227098464966,212.0,94.5,367.0,120.5,0,0,0,0
2403.68914604187,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
2437.2451305389404,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
2469.062089920044,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
2535.4621410369873,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
2567.8749084472656,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
2599.593162536621,212.0,95.0,367.0,120.0,195.0,257.0,354.0,271.0
2633.810043334961,212.0,94.5,366.5,120.5,195.0,257.0,355.0,271.0
2666.796922683716,212.0,95.0,367.0,120.0,195.0,257.0,354.0,271.0
2699.1782188415527,212.0,94.5,367.0,120.5,195.0,256.0,354.0,270.0
2732.866048812866,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
2763.9501094818115,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
2797.2261905670166,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
2831.0770988464355,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
2865.0920391082764,212.0,94.5,366.0,120.25,195.0,257.0,354.5,271.0
2897.435188293457,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
2930.785894393921,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
2961.796998977661,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
2994.9421882629395,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
3028.269052505493,212.0,94.5,367.0,120.5,0,0,0,0
